[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.054s parse=0.059s build=0.189s
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.089ms frontier=  0.010ms semisort=  0.135ms (keyed= 0.002ms group_by=  0.055ms per_group= 0.030ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.049ms frontier=  0.009ms semisort=  0.143ms (keyed= 0.001ms group_by=  0.039ms per_group= 0.061ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.055ms frontier=  0.008ms semisort=  0.121ms (keyed= 0.001ms group_by=  0.032ms per_group= 0.043ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.058ms frontier=  0.007ms semisort=  0.126ms (keyed= 0.001ms group_by=  0.038ms per_group= 0.057ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.060ms frontier=  0.006ms semisort=  0.084ms (keyed= 0.001ms group_by=  0.033ms per_group= 0.023ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.055ms frontier=  0.005ms semisort=  0.043ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.019ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.036ms frontier=  0.003ms semisort=  0.028ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.015ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.025ms frontier=  0.003ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.005ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.032ms frontier=  0.003ms semisort=  0.068ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.030ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.037ms frontier=  0.004ms semisort=  0.059ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.024ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.039ms frontier=  0.006ms semisort=  0.051ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.023ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.024ms frontier=  0.004ms semisort=  0.026ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.016ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.033ms frontier=  0.004ms semisort=  0.136ms (keyed= 0.001ms group_by=  0.036ms per_group= 0.048ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.026ms frontier=  0.003ms semisort=  0.044ms (keyed= 0.001ms group_by=  0.015ms per_group= 0.005ms)
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.004ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
